soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,time
0.23,0.279,0.317625,2011-01-24
0.23,0.279,0.31716666666666665,2011-01-25
0.23,0.279,0.3165833333333333,2011-01-26
0.23,0.279,0.316,2011-01-27
0.23,0.279,0.315625,2011-01-28
0.23,0.279,0.3152916666666667,2011-01-29
0.23,0.279,0.3145833333333333,2011-01-30
0.23,0.279,0.314,2011-01-31
0.23,0.279,0.313625,2011-02-01
0.23,0.279,0.3132916666666667,2011-02-02
0.22987500000000002,0.279,0.312625,2011-02-03
0.22958333333333333,0.279,0.312,2011-02-04
0.22954166666666667,0.279,0.31154166666666666,2011-02-05
0.22929166666666667,0.279,0.31066666666666665,2011-02-06
0.229,0.279,0.31045833333333334,2011-02-07
0.229,0.279,0.309625,2011-02-08
0.229,0.279,0.3090833333333333,2011-02-09
0.229,0.279,0.308625,2011-02-10
0.229,0.2783333333333334,0.308,2011-02-11
0.229,0.278,0.30754166666666666,2011-02-12
0.229,0.278,0.307,2011-02-13
0.229,0.278,0.30645833333333333,2011-02-14
0.229,0.278,0.306,2011-02-15
0.23187500000000003,0.278,0.30554166666666666,2011-02-16
0.235,0.278,0.305,2011-02-17
0.23616666666666664,0.278,0.305,2011-02-18
0.23429166666666668,0.278,0.304625,2011-02-19
0.23670833333333333,0.278,0.3045,2011-02-20
0.237125,0.278,0.304,2011-02-21
0.235125,0.278,0.304,2011-02-22
0.23354166666666668,0.278,0.3035,2011-02-23
0.23320833333333335,0.278,0.303,2011-02-24
0.23345833333333335,0.278,0.302625,2011-02-25
0.23245833333333335,0.278,0.302375,2011-02-26
0.23145833333333335,0.278,0.302,2011-02-27
0.230625,0.278,0.30154166666666665,2011-02-28
0.23008333333333333,0.278,0.301,2011-03-01
0.231,0.278,0.30091666666666667,2011-03-02
0.2304166666666667,0.278,0.3004583333333333,2011-03-03
0.23029166666666667,0.278,0.3,2011-03-04
0.23070833333333332,0.278,0.2995,2011-03-05
0.23,0.278,0.299,2011-03-06
0.23,0.278,0.29854166666666665,2011-03-07
0.22966666666666669,0.278,0.298,2011-03-08
0.22916666666666666,0.278,0.29754166666666665,2011-03-09
0.229,0.2770416666666667,0.297,2011-03-10
0.229,0.277,0.297,2011-03-11
0.229,0.277,0.2965,2011-03-12
0.229,0.277,0.296,2011-03-13
0.229,0.277,0.29562499999999997,2011-03-14
0.229,0.277,0.29504166666666665,2011-03-15
0.229,0.277,0.295,2011-03-16
0.229,0.277,0.2945,2011-03-17
0.229,0.277,0.294,2011-03-18
0.229,0.277,0.29354166666666665,2011-03-19
0.229,0.277,0.293,2011-03-20
0.229,0.277,0.29275,2011-03-21
0.229,0.277,0.29241666666666666,2011-03-22
0.229,0.277,0.292,2011-03-23
0.229,0.277,0.29162499999999997,2011-03-24
0.229,0.277,0.29116666666666663,2011-03-25
0.229,0.277,0.291,2011-03-26
0.229,0.277,0.29062499999999997,2011-03-27
0.229,0.277,0.29,2011-03-28
0.229,0.277,0.29,2011-03-29
0.229,0.277,0.2896666666666667,2011-03-30
0.229,0.27658333333333335,0.289375,2011-03-31
0.229,0.276,0.289,2011-04-01
0.229,0.276,0.289,2011-04-02
0.229,0.276,0.28854166666666664,2011-04-03
0.22933333333333336,0.276,0.288,2011-04-04
0.229625,0.276,0.288,2011-04-05
0.229,0.276,0.288,2011-04-06
0.23283333333333334,0.276,0.288,2011-04-07
0.23770833333333333,0.276,0.2875833333333333,2011-04-08
0.23479166666666665,0.276,0.28724999999999995,2011-04-09
0.23216666666666666,0.276,0.287,2011-04-10
0.23058333333333336,0.276,0.287,2011-04-11
0.23,0.276,0.287,2011-04-12
0.2295,0.276,0.28654166666666664,2011-04-13
0.229,0.276,0.286,2011-04-14
0.22929166666666667,0.276,0.286,2011-04-15
0.22970833333333332,0.276,0.286,2011-04-16
0.22929166666666667,0.276,0.286,2011-04-17
0.23,0.276,0.286,2011-04-18
0.22945833333333335,0.276,0.2855,2011-04-19
0.229,0.276,0.285,2011-04-20
0.23587500000000003,0.276,0.285,2011-04-21
0.24420833333333333,0.27520833333333333,0.285,2011-04-22
0.23770833333333333,0.275,0.285,2011-04-23
0.23345833333333332,0.275,0.285,2011-04-24
0.23116666666666666,0.275,0.285,2011-04-25
0.23,0.275,0.28454166666666664,2011-04-26
0.2295,0.275,0.284,2011-04-27
0.229,0.275,0.284,2011-04-28
0.229,0.275,0.284,2011-04-29
0.22908333333333333,0.275,0.284,2011-04-30
0.22991666666666669,0.275,0.284,2011-05-01
0.22941666666666669,0.275,0.28375,2011-05-02
0.229,0.275,0.2834583333333333,2011-05-03
0.229,0.275,0.283,2011-05-04
0.229,0.275,0.283,2011-05-05
0.22929166666666667,0.275,0.283,2011-05-06
0.22958333333333333,0.275,0.283,2011-05-07
0.229,0.275,0.283,2011-05-08
0.22966666666666669,0.275,0.283,2011-05-09
0.23,0.275,0.283,2011-05-10
0.2295,0.275,0.283,2011-05-11
0.229,0.275,0.283,2011-05-12
0.229,0.275,0.28254166666666664,2011-05-13
0.229,0.27445833333333336,0.282,2011-05-14
0.229,0.274,0.282,2011-05-15
0.229,0.274,0.282,2011-05-16
0.229,0.274,0.282,2011-05-17
0.229,0.274,0.282,2011-05-18
0.229,0.274,0.282,2011-05-19
0.229,0.274,0.282,2011-05-20
0.229,0.274,0.282,2011-05-21
0.229,0.274,0.282,2011-05-22
0.229,0.274,0.282,2011-05-23
0.229,0.274,0.282,2011-05-24
0.231125,0.274,0.282,2011-05-25
0.23858333333333334,0.274,0.282,2011-05-26
0.24308333333333332,0.274,0.282,2011-05-27
0.238125,0.274,0.282,2011-05-28
0.23324999999999999,0.274,0.28170833333333334,2011-05-29
0.23070833333333332,0.274,0.28150000000000003,2011-05-30
0.23,0.274,0.281125,2011-05-31
0.23,0.274,0.281,2011-06-01
0.22983333333333333,0.274,0.281,2011-06-02
0.23029166666666667,0.274,0.281,2011-06-03
0.23083333333333333,0.274,0.281,2011-06-04
0.2314166666666667,0.274,0.281,2011-06-05
0.230375,0.2737083333333334,0.281,2011-06-06
0.22966666666666669,0.273,0.281,2011-06-07
0.2346666666666667,0.273,0.281,2011-06-08
0.2470416666666667,0.273,0.281,2011-06-09
0.249125,0.273,0.281,2011-06-10
0.318875,0.273625,0.281,2011-06-11
0.295375,0.274,0.281,2011-06-12
0.283125,0.274,0.281,2011-06-13
0.2925833333333333,0.274,0.281,2011-06-14
0.31625,0.274,0.281,2011-06-15
0.3016666666666667,0.274,0.281,2011-06-16
0.2869583333333333,0.274,0.281,2011-06-17
0.273,0.274,0.281,2011-06-18
0.2954583333333333,0.274,0.281,2011-06-19
0.31174999999999997,0.274,0.281,2011-06-20
