precipitation_sum,et0_fao_evapotranspiration,precipitation_hours,river_discharge,dewpoint_2m_max,soil_moisture_0_to_7cm,soil_moisture_28_to_100cm,rainfall_3d,rainfall_7d,humidity,is_monsoon,flood_risk
0.0,7.32,0.0,0.25,15.9,0.229,0.296,0.0,0.0,0.0,0,0
0.0,7.99,0.0,0.28,12.3,0.229,0.2956249999999999,0.0,0.0,0.0,0,0
0.0,7.68,0.0,0.28,8.9,0.229,0.295,0.0,0.0,0.0,0,0
0.0,7.46,0.0,0.28,9.3,0.229,0.2945833333333333,0.0,0.0,0.0,0,0
0.0,7.73,0.0,0.28,9.4,0.229,0.294,0.0,0.0,0.0,0,0
0.0,7.64,0.0,0.28,8.3,0.229,0.2935,0.0,0.0,0.0,0,0
0.0,7.11,0.0,0.28,8.8,0.229,0.293,0.0,0.0,0.0,0,0
0.0,7.06,0.0,0.28,12.1,0.229,0.2925416666666666,0.0,0.0,0.0,0,0
0.0,9.54,0.0,0.28,7.9,0.229,0.292,0.0,0.0,0.0,0,0
0.0,8.98,0.0,0.28,8.8,0.229,0.29175,0.0,0.0,0.0,0,0
0.0,9.44,0.0,0.28,10.6,0.229,0.2914166666666666,0.0,0.0,0.0,0,0
0.0,8.82,0.0,0.28,9.0,0.229,0.291,0.0,0.0,0.0,0,0
0.0,7.87,0.0,0.28,9.1,0.229,0.2905,0.0,0.0,0.0,0,0
0.0,7.84,0.0,0.28,11.5,0.229,0.29,0.0,0.0,0.0,0,0
0.0,7.45,0.0,0.28,15.6,0.229,0.2895416666666666,0.0,0.0,0.0,0,0
0.0,9.36,0.0,0.28,9.2,0.229,0.289,0.0,0.0,0.0,0,0
0.0,10.5,0.0,0.28,9.9,0.229,0.2886666666666666,0.0,0.0,0.0,0,0
0.0,11.08,0.0,0.28,13.7,0.229,0.2884166666666666,0.0,0.0,0.0,0,0
0.0,10.71,0.0,0.28,15.3,0.229,0.288,0.0,0.0,0.0,0,0
0.0,10.47,0.0,0.28,15.3,0.229,0.288,0.0,0.0,0.0,0,0
0.0,9.86,0.0,0.28,13.6,0.229,0.2875833333333333,0.0,0.0,0.0,0,0
0.0,9.77,0.0,0.28,7.5,0.229,0.287,0.0,0.0,0.0,0,0
0.0,7.87,0.0,0.28,5.9,0.229,0.287,0.0,0.0,0.0,0,0
0.0,9.41,0.0,0.28,6.8,0.229,0.287,0.0,0.0,0.0,0,0
0.0,7.82,0.0,0.28,10.4,0.229,0.2865,0.0,0.0,0.0,0,0
0.0,9.02,0.0,0.28,8.1,0.229,0.286,0.0,0.0,0.0,0,0
0.0,9.57,0.0,0.28,9.8,0.229,0.286,0.0,0.0,0.0,0,0
0.0,8.66,0.0,0.28,10.4,0.2286666666666666,0.286,0.0,0.0,0.0,0,0
0.0,9.02,0.0,0.28,9.5,0.22875,0.2855,0.0,0.0,0.0,0,0
0.0,6.07,0.0,0.28,12.2,0.229,0.285,0.0,0.0,0.0,0,0
0.0,8.67,0.0,0.28,13.0,0.229,0.285,0.0,0.0,0.0,0,0
0.0,7.85,0.0,0.28,13.4,0.229,0.285,0.0,0.0,0.0,0,0
2.8,9.39,3.0,0.31,13.3,0.2370833333333333,0.285,2.8,2.8,0.0,0,0
0.0,9.71,0.0,0.31,12.5,0.2452083333333333,0.285,2.8,2.8,0.0,0,0
0.0,9.37,0.0,0.31,12.8,0.2367916666666666,0.285,2.8,2.8,0.0,0,0
0.0,9.83,0.0,0.31,13.0,0.2325416666666666,0.2845416666666666,0.0,2.8,0.0,0,0
0.0,9.13,0.0,0.31,11.2,0.2305,0.284,0.0,2.8,0.0,0,0
0.0,9.17,0.0,0.28,14.7,0.2296666666666666,0.284,0.0,2.8,0.0,0,0
0.0,10.08,0.0,0.28,9.4,0.229,0.284,0.0,2.8,0.0,0,0
0.0,9.82,0.0,0.28,5.2,0.229,0.284,0.0,0.0,0.0,0,0
0.0,8.86,0.0,0.28,11.3,0.229,0.284,0.0,0.0,0.0,0,0
0.0,9.3,0.0,0.28,10.6,0.229,0.2835416666666666,0.0,0.0,0.0,0,0
0.0,9.98,0.0,0.28,10.7,0.229,0.283,0.0,0.0,0.0,0,0
0.0,9.78,0.0,0.28,14.3,0.229,0.283,0.0,0.0,0.0,0,0
0.0,8.88,0.0,0.28,13.2,0.229,0.283,0.0,0.0,0.0,0,0
